ProductCode,State,ProductDescription
IDD20320,NT,Fire Weather Warning 1 (NT)
IDD20330,NT,Fire Weather Warning 2 (NT)
IDN22000,NSW,Fire Weather Warning 1 (NSW)
IDN22001,NSW,Fire Weather Warning 2 (NSW)
IDN22200,NSW,Fire Weather Warning - ACT (NSW)
IDQ20035,QLD,Fire Weather Warning 1 (QLD)
IDQ20036,QLD,Fire Weather Warning 2 (QLD)
IDS20290,SA,Fire Weather Warning 1 (SA)
IDS20299,SA,Fire Weather Warning 2 (SA)
IDT31100,TAS,Fire Weather Warning 1 (TAS)
IDT31200,TAS,Fire Weather Warning 2 (TAS)
IDV22000,VIC,Fire Weather Warning 1 (VIC)
IDV22001,VIC,Fire Weather Warning 2 (VIC)
IDW30000,WA,Fire Weather Warning 1 (WA)
IDW30100,WA,Fire Weather Warning 2 (WA)
IDN38100,NSW,Road Weather Alert - Sydney (NSW)
IDN38200,NSW,Road Weather Alert - Canberra (NSW)
IDQ20002,QLD,Road Weather Alert (QLD)
IDS20240,SA,Road Weather Alert (SA)
IDT38100,TAS,Road Weather Alert (TAS)
IDV30000,VIC,Road Weather Alert - Melbourne (VIC)
IDW28500,WA,Road Weather Alert (WA)
IDN36503,NSW,Flood Watch 1 (NSW)
IDN36504,NSW,Flood Watch 2 (NSW)
IDD20590,NT,Flood Watch 1 (NT)
IDD20595,NT,Flood Watch 2 (NT)
IDQ20900,QLD,Flood Watch 1 (QLD)
IDQ20905,QLD,Flood Watch 2 (QLD)
IDS20374,SA,Flood Watch 1 (SA)
IDS20375,SA,Flood Watch 2 (SA)
IDT20625,TAS,Flood Watch 1 (TAS)
IDT20630,TAS,Flood Watch 2 (TAS)
IDV35010,VIC,Flood Watch 1 (VIC)
IDV35020,VIC,Flood Watch 2 (VIC)
IDW39605,WA,Flood Watch 1 (WA)
IDW39606,WA,Flood Watch 2 (WA)
IDD20535,NT,Flood Warning - Adelaide River (NT)
IDD20545,NT,Flood Warning - Daly River (NT)
IDD20555,NT,Flood Warning - Katherine River (NT)
IDD20565,NT,Flood Warning - Roper and Waterhouse River (NT)
IDD20575,NT,Flood Warning - Victoria River (NT)
IDD20585,NT,Flood Warning - McArthur River (NT)
