AXFCode,ProductCode,State,ProductDescription
IDD26108,IDD21035,NT,Severe Thunderstorm Warning - Darwin and Rural Area - Threat Area (NT)
IDD26109,IDD21035,NT,Severe Thunderstorm Warning - Darwin and Rural Area - Storm Location (NT)
IDD26131,IDD21037,NT,Severe Weather Warning 1 - Warning Areas - AXF (NT)
IDD26134,IDD21038,NT,Severe Weather Warning 2 - Warning Areas - AXF (NT)
IDD26137,IDD21033,NT,Severe Thunderstorm Warning 1 - Warning Area - AXF (NT)
IDD26140,IDD21034,NT,Severe Thunderstorm Warning 2 - Warning Area - AXF (NT)
IDD26142,IDD21137,NT,Severe Weather Warning 3 - Warning Areas - AXF (NT)
IDN65238,IDN21033,NSW,Severe Thunderstorm Warning - Warning Area (NSW)
IDN65240,IDN21035,NSW,Detailed Severe Thunderstorm Warning - Threat Area (NSW)
IDN65241,IDN21035,NSW,Detailed Severe Thunderstorm Warning - Storm Location (NSW)
IDN65251,IDN21036,NSW,Severe Thunderstorm Warning - Canberra - Threat Area (NSW)
IDN65252,IDN21036,NSW,Severe Thunderstorm Warning - Canberra - Storm Location (NSW)
IDN65259,IDN21037,NSW,Severe Weather Warning 1 - Warning Areas - AXF (NSW)
IDN65260,IDN21038,NSW,Severe Weather Warning 2 - Warning Areas - AXF (NSW)
IDN65266,IDN21137,NSW,Severe Weather Warning 3 - Warning Areas - AXF (NSW)
IDQ65272,IDQ21037,QLD,Severe Weather Warning 1 - Warning Areas - AXF (QLD)
IDQ65277,IDQ21038,QLD,Severe Weather Warning 2 - Warning Areas - AXF (QLD)
IDQ65282,IDQ21137,QLD,Severe Weather Warning 3 - Warning Areas - AXF (QLD)
IDQ65650,IDQ21035,QLD,Severe Thunderstorm Warning - Southeast Queensland - Threat Area (QLD)
IDQ65652,IDQ21035,QLD,Severe Thunderstorm Warning - Southeast Queensland - Storm Location (QLD)
IDQ65654,IDQ21033,QLD,Severe Thunderstorm Warning - Warning Area (QLD)
IDS65522,IDS21035,SA,Severe Thunderstorm Warning - Adelaide - Threat Area (SA)
IDS65523,IDS21035,SA,Severe Thunderstorm Warning - Adelaide - Storm Location (SA)
IDS65524,IDS21033,SA,Severe Thunderstorm Warning - Warning Area (SA)
IDS65525,IDS21037,SA,Severe Weather Warning - Warning Areas (SA)
IDS65526,IDS21038,SA,Severe Weather Warning 2 - Warning Areas - AXF (SA)
IDS65527,IDS21137,SA,Severe Weather Warning 3 - Warning Areas - AXF (SA)
IDT21049,IDT21035,TAS,Severe Thunderstorm Warning - Hobart Area - Threat Area (TAS)
IDT21050,IDT21035,TAS,Severe Thunderstorm Warning - Hobart Area - Storm Location (TAS)
IDT65503,IDT21037,TAS,Severe Weather Warning 1 - Warning Areas - AXF (TAS)
IDT65508,IDT21038,TAS,Severe Weather Warning 2 - Warning Areas - AXF (TAS)
IDT65513,IDT21033,TAS,Severe Thunderstorm Warning - Warning Area (TAS)
IDT65523,IDT21137,TAS,Severe Weather Warning 3 - Warning Areas - AXF (TAS)
IDV65659,IDV21037,VIC,Severe Weather Warning 1 - Warning Areas - AXF (VIC)
IDV65660,IDV21038,VIC,Severe Weather Warning 2 - Warning Areas - AXF (VIC)
IDV65663,IDV21137,VIC,Severe Weather Warning 3 - Warning Areas - AXF (VIC)
IDV65747,IDV21033,VIC,Severe Thunderstorm Warning - Warning Area (VIC)
IDV65748,IDV21035,VIC,Severe Thunderstorm Warning - Melbourne - Threat Area (VIC)
IDV65749,IDV21035,VIC,Severe Thunderstorm Warning - Melbourne - Storm Location (VIC)
IDW21049,IDW21035,WA,Severe Thunderstorm Warning - Perth Area - Threat Area (WA)
IDW21050,IDW21035,WA,Severe Thunderstorm Warning - Perth Area - Storm Location (WA)
IDW65644,IDW21033,WA,Severe Thunderstorm Warning 1 - Warning Area - AXF (WA)
IDW65647,IDW21034,WA,Severe Thunderstorm Warning 2 - Warning Area - AXF (WA)
IDW65659,IDW21037,WA,Severe Weather Warning 1 - Warning Areas - AXF (WA)
IDW65660,IDW21038,WA,Severe Weather Warning 2 - Warning Areas - AXF (WA)
IDW65663,IDW21137,WA,Severe Weather Warning 3 - Warning Areas - AXF (WA)
