id,SrcField,SrcFile
NSW_PW001,AAC,IDM00001.shp
NSW_PW002,AAC,IDM00001.shp
NSW_PW003,AAC,IDM00001.shp
NSW_PW004,AAC,IDM00001.shp
NSW_PW005,AAC,IDM00001.shp
NSW_PW006,AAC,IDM00001.shp
NSW_PW007,AAC,IDM00001.shp
NSW_PW008,AAC,IDM00001.shp
NSW_PW009,AAC,IDM00001.shp
NSW_PW010,AAC,IDM00001.shp
NSW_PW011,AAC,IDM00001.shp
NSW_PW012,AAC,IDM00001.shp
NSW_PW013,AAC,IDM00001.shp
NSW_PW014,AAC,IDM00001.shp
NSW_PW015,AAC,IDM00001.shp
NSW_PW016,AAC,IDM00001.shp
NSW_PW017,AAC,IDM00001.shp
NT_PW001,AAC,IDM00001.shp
NT_PW002,AAC,IDM00001.shp
NT_PW003,AAC,IDM00001.shp
NT_PW004,AAC,IDM00001.shp
NT_PW005,AAC,IDM00001.shp
NT_PW006,AAC,IDM00001.shp
NT_PW007,AAC,IDM00001.shp
NT_PW008,AAC,IDM00001.shp
NT_PW009,AAC,IDM00001.shp
QLD_PW001,AAC,IDM00001.shp
QLD_PW002,AAC,IDM00001.shp
QLD_PW003,AAC,IDM00001.shp
QLD_PW004,AAC,IDM00001.shp
QLD_PW005,AAC,IDM00001.shp
QLD_PW006,AAC,IDM00001.shp
QLD_PW007,AAC,IDM00001.shp
QLD_PW008,AAC,IDM00001.shp
QLD_PW009,AAC,IDM00001.shp
QLD_PW010,AAC,IDM00001.shp
QLD_PW011,AAC,IDM00001.shp
QLD_PW012,AAC,IDM00001.shp
QLD_PW013,AAC,IDM00001.shp
QLD_PW014,AAC,IDM00001.shp
QLD_PW015,AAC,IDM00001.shp
SA_PW001,AAC,IDM00001.shp
SA_PW002,AAC,IDM00001.shp
SA_PW003,AAC,IDM00001.shp
SA_PW004,AAC,IDM00001.shp
SA_PW005,AAC,IDM00001.shp
SA_PW006,AAC,IDM00001.shp
SA_PW007,AAC,IDM00001.shp
SA_PW008,AAC,IDM00001.shp
SA_PW009,AAC,IDM00001.shp
SA_PW010,AAC,IDM00001.shp
SA_PW011,AAC,IDM00001.shp
SA_PW012,AAC,IDM00001.shp
SA_PW013,AAC,IDM00001.shp
SA_PW014,AAC,IDM00001.shp
SA_PW015,AAC,IDM00001.shp
TAS_PW001,AAC,IDM00001.shp
TAS_PW002,AAC,IDM00001.shp
TAS_PW003,AAC,IDM00001.shp
TAS_PW004,AAC,IDM00001.shp
TAS_PW005,AAC,IDM00001.shp
TAS_PW006,AAC,IDM00001.shp
TAS_PW007,AAC,IDM00001.shp
TAS_PW008,AAC,IDM00001.shp
TAS_PW009,AAC,IDM00001.shp
TAS_PW010,AAC,IDM00001.shp
TAS_PW011,AAC,IDM00001.shp
VIC_PW001,AAC,IDM00001.shp
VIC_PW002,AAC,IDM00001.shp
VIC_PW003,AAC,IDM00001.shp
VIC_PW004,AAC,IDM00001.shp
VIC_PW005,AAC,IDM00001.shp
VIC_PW006,AAC,IDM00001.shp
VIC_PW007,AAC,IDM00001.shp
VIC_PW008,AAC,IDM00001.shp
VIC_PW009,AAC,IDM00001.shp
WA_PW001,AAC,IDM00001.shp
WA_PW002,AAC,IDM00001.shp
WA_PW003,AAC,IDM00001.shp
WA_PW004,AAC,IDM00001.shp
WA_PW005,AAC,IDM00001.shp
WA_PW006,AAC,IDM00001.shp
WA_PW007,AAC,IDM00001.shp
WA_PW008,AAC,IDM00001.shp
WA_PW009,AAC,IDM00001.shp
WA_PW010,AAC,IDM00001.shp
WA_PW011,AAC,IDM00001.shp
WA_PW012,AAC,IDM00001.shp
WA_PW013,AAC,IDM00001.shp
WA_PW014,AAC,IDM00001.shp
NSW_MW001,AAC,IDM00003.shp
NSW_MW002,AAC,IDM00003.shp
NSW_MW003,AAC,IDM00003.shp
NSW_MW004,AAC,IDM00003.shp
NSW_MW005,AAC,IDM00003.shp
NSW_MW006,AAC,IDM00003.shp
NSW_MW007,AAC,IDM00003.shp
NSW_MW008,AAC,IDM00003.shp
NSW_MW009,AAC,IDM00003.shp
NT_MW001,AAC,IDM00003.shp
NT_MW002,AAC,IDM00003.shp
NT_MW003,AAC,IDM00003.shp
